#NTIMES: 145 
#NSTAGES: 5 
#TIMES[d]: 4.14 4.22 4.31 4.40 4.49 4.58 4.68 4.77 4.87 4.97 5.08 5.18 5.29 5.40 5.51 5.62 5.74 5.86 5.98 6.10 6.23 6.36 6.49 6.62 6.76 6.90 7.04 7.19 7.34 7.49 7.64 7.80 7.96 8.13 8.30 8.47 8.64 8.82 9.01 9.19 9.38 9.58 9.77 9.98 10.18 10.39 10.61 10.83 11.05 11.28 11.51 11.75 11.99 12.24 12.50 12.75 13.02 13.29 13.56 13.84 14.13 14.42 14.72 15.02 15.33 15.65 15.98 16.31 16.64 16.99 17.34 17.70 18.06 18.44 18.82 19.21 19.60 20.01 20.42 20.85 21.28 21.72 22.17 22.62 23.09 23.57 24.06 24.56 25.06 25.58 26.11 26.65 27.20 27.76 28.34 28.93 29.52 30.13 30.76 31.39 32.04 32.71 33.38 34.07 34.78 35.50 36.23 36.98 37.74 38.53 39.32 40.14 40.97 41.81 42.68 43.56 44.46 45.38 46.32 47.28 48.26 49.25 50.27 51.31 52.37 53.46 54.56 55.69 56.84 58.02 59.22 60.44 61.69 62.97 64.27 65.60 66.96 68.34 69.76 71.20 72.67 74.17 75.71 77.27 78.87 
#
#TIME: 4.14 
#NVEL: 67 
#vel_mid[km/s] zn0 zn1 zn2 zn3 zn4 
20034.10 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
20838.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
21647.97 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
22447.94 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
23245.88 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
24052.47 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
24867.72 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
25698.86 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
26587.16 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
27637.54 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
28986.97 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
#TIME: 5.98 
#NVEL: 67 
#vel_mid[km/s] zn0 zn1 zn2 zn3 zn4 
440.10 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
999.11 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
1267.34 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
1514.05 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
1808.80 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
1919.29 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
2160.92 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
2292.92 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
2432.98 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
2581.60 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
2739.29 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
2906.62 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
3084.17 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
3272.56 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
3472.46 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
3684.57 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
3909.64 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
4148.46 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
4401.86 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
4670.75 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
4956.05 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
5258.79 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
5580.02 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
5920.87 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
6282.54 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
6666.30 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
7073.50 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
7505.58 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
7964.05 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
8450.53 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
8966.72 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
9514.44 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
10095.62 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
10712.30 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
11366.65 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
12061.10 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
12793.43 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
13528.61 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
14194.74 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
14757.77 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
15240.48 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
15646.99 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
15960.30 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
16187.41 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
16354.17 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
16484.18 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
16593.12 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
16691.99 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
16788.59 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
16888.37 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
16998.79 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
17146.37 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
17415.23 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
17888.12 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
18532.37 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
19260.76 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
20034.10 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
20838.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
21647.97 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
22447.94 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
23245.88 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
24052.47 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
24867.72 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
25698.86 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
26587.16 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
27637.54 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
28986.97 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
#TIME: 6.10 
#NVEL: 67 
#vel_mid[km/s] zn0 zn1 zn2 zn3 zn4 
440.10 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
999.11 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
1267.34 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
1514.05 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
1808.80 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
1919.29 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
2160.92 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
2292.92 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
2432.98 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
2581.60 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
2739.29 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
2906.62 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
3084.17 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
3272.56 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
3472.46 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
3684.57 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
3909.64 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
4148.46 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
4401.86 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
4670.75 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
4956.05 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
5258.79 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
5580.02 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
5920.87 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
6282.54 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
6666.30 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
7073.50 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
7505.58 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
7964.05 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
8450.53 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
8966.72 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
9514.44 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
10095.62 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
10712.30 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
11366.65 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
12061.10 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
12793.43 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
13528.61 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
14194.74 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
14757.77 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
15240.48 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
15646.99 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
15960.30 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
16187.41 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
16354.17 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
16484.18 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
16593.12 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
16691.99 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
16788.59 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
16888.37 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
16998.79 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
17146.37 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
17415.23 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
17888.12 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
18532.37 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
19260.76 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
20034.10 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
20838.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
21647.97 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
22447.94 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
23245.88 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
24052.47 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
24867.72 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
25698.86 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
26587.16 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
27637.54 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
28986.97 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
#TIME: 6.23 
#NVEL: 67 
#vel_mid[km/s] zn0 zn1 zn2 zn3 zn4 
440.10 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
999.11 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
1267.34 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
1514.05 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
1808.80 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
1919.29 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
2160.92 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
2292.92 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
2432.98 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
2581.60 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
2739.29 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
2906.62 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
3084.17 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
3272.56 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
3472.46 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
3684.57 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
3909.64 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
4148.46 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
4401.86 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
4670.75 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
4956.05 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
5258.79 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
5580.02 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
5920.87 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
6282.54 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
6666.30 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
7073.50 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
7505.58 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
7964.05 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
8450.53 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
8966.72 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
9514.44 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
10095.62 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
10712.30 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
11366.65 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
12061.10 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
12793.43 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
13528.61 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
14194.74 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
14757.77 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
15240.48 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
15646.99 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
15960.30 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
16187.41 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
16354.17 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
16484.18 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
16593.12 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
16691.99 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
16788.59 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
16888.37 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
16998.79 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
17146.37 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
17415.23 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
17888.12 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
18532.37 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
19260.76 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
20034.10 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
20838.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
21647.97 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
22447.94 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
23245.88 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
24052.47 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
24867.72 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
25698.86 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
26587.16 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
27637.54 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
28986.97 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
#TIME: 6.36 
#NVEL: 67 
#vel_mid[km/s] zn0 zn1 zn2 zn3 zn4 
440.10 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
999.11 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
1267.34 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
1514.05 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
1808.80 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
1919.29 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
2160.92 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
2292.92 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
2432.98 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
2581.60 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
2739.29 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
2906.62 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
3084.17 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
3272.56 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
3472.46 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
3684.57 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
3909.64 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
4148.46 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
4401.86 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
4670.75 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
4956.05 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
5258.79 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
5580.02 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
5920.87 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
6282.54 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
6666.30 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
7073.50 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
7505.58 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
7964.05 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
8450.53 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
8966.72 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
9514.44 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
10095.62 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
10712.30 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
11366.65 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
12061.10 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
12793.43 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
13528.61 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
14194.74 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
14757.77 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
15240.48 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
15646.99 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
15960.30 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
16187.41 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
16354.17 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
16484.18 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
16593.12 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
16691.99 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
16788.59 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
16888.37 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
16998.79 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
17146.37 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
17415.23 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
17888.12 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
18532.37 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
19260.76 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
20034.10 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
20838.00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
21647.97 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
22447.94 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
23245.88 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
24052.47 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
24867.72 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
25698.86 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
26587.16 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
27637.54 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
28986.97 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
#TIME: 6.49 
#NVEL: 67 
#vel_mid[km/s] zn0 zn1 zn2 zn3 zn4 
440.10 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
999.11 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
1267.34 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
1514.05 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
1808.80 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
1919.29 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
2160.92 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
2292.92 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
2432.98 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
2581.60 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
2739.29 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
2906.62 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
3084.17 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
3272.56 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
3472.46 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
3684.57 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
3909.64 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
4148.46 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
4401.86 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
4670.75 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
4956.05 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
5258.79 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
5580.02 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
5920.87 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
6282.54 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
6666.30 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
7073.50 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
7505.58 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
7964.05 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
8450.53 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
8966.72 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
9514.44 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
10095.62 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
10712.30 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
11366.65 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
12061.10 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
12793.43 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
13528.61 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
14194.74 0.00e+00 0.00e+00 0.00e+00 0.00e+00 0.00e+00 
